0^1410486065^b4503bc254124f20^180.80.59.194^apply.uway.com/2014main^OasDefault/apbox_djsjcj_2014re,apbox_djsjcj_140709.swf.html,box_A^winnt^mozilla^mozilla1
0^1410486065^0e33ac1c54098ca0^14.51.172.28^apply.uway.com/2014main^OasDefault/apleft_UNIST_2014re,apleft_UNIST_140616,Left3^winnt^msie^explorer7
0^1410486065^afc0b6b554124b80^175.192.182.181^apply.uway.com/2014main^OasDefault/apcontents_kbatv_2014re,apcontents_kbatv_140904,maintop_B^winnt^mozilla^mozilla1
0^1410486065^0e33ac1c54098ca0^14.51.172.28^apply.uway.com/2014main^OasDefault/apcontents_sac_2014re,apcontents_sac_140321,contents_D^winnt^msie^explorer7
0^1410486065^756fb08a54124f20^117.111.176.138^apply.uway.com/2014main^OasDefault/apbox_tu_2014re,apbox_tu_140828.swf.html,Right^winnt^msie^Other
0^1410486065^0e20a35d54124f30^14.32.163.93^apply.uway.com/2014main^OasDefault/apbottom_feu_2014re,apbottom_feu_140801,Bottom3^winxp^msie^explorer7
0^1410486065^70a5446554124f00^112.165.68.101^apply.uway.com/2014main^OasDefault/apcontents_hyejeon_2014re,apcontents_hyejeon_140321,maintop_A^winnt^safari^safari3
n^1410486065^d32b814b54124f30^211.43.129.75^apply.uway.com/2014main^OasDefault/apmainbig_dima_2014re,apmainbig_dima_140722.swf.html,mainbig^macintosh^safari^Other
0^1410486065^0e33ac1c54098ca0^14.51.172.28^apply.uway.com/2014main^OasDefault/apcontents_kbatv_2014re,apcontents_kbatv_140904,maintop_B^winnt^msie^explorer7
0^1410486065^76d87c89540ea7c0^118.216.124.137^apply.uway.com/2014main^OasDefault/apleft_smu_2014re,apleft_smu_140321,Left1^winnt^safari^safari3
0^1410486065^b4503bc254124f20^180.80.59.194^apply.uway.com/2014main^OasDefault/apbox_good4u_2014re,apbox_good4u_140808.swf.html,box_C^winnt^mozilla^mozilla1
0^1410486065^afc0b6b554124b80^175.192.182.181^apply.uway.com/2014main^OasDefault/apcontents_kimpo_2014re,apcontents_kimpo_140623,maintop_C^winnt^mozilla^mozilla1
0^1410486065^0e26497c5411a200^14.38.73.124^apply.uway.com/2014main^OasDefault/apleft_mju_2014re,apleft_mju_140415,Left2^winxp^safari^safari3
0^1410486065^0e33ac1c54098ca0^14.51.172.28^apply.uway.com/2014main^OasDefault/apcontents_sehan_2014re,apcontents_sehan_140804,maintop_D^winnt^msie^explorer7
0^1410486065^70855ed253aa6f30^112.133.88.17^www.uway.com/10main^OasDefault/cbiz_2010,x91_20100722_10main.html,x91^winnt^msie^Other
0^1410486065^afc0728854124f30^175.192.114.136^apply.uway.com/2014main^OasDefault/apsky_hansung_2014re,apsky_hansung_140528.swf.html,sky_I^winnt^msie^explorer8
0^1410486065^3a1d231353d0b7d0^58.29.35.19^apply.uway.com/2014main^OasDefault/apbox_deachungse_2014re,apbox_deachungse_140827.swf.html,box_F^winnt^msie^explorer7
0^1410486065^afc0b6b554124b80^175.192.182.181^apply.uway.com/2014main^OasDefault/apcontents_icpc_2014re,apcontents_icpc_140829,maintop_D^winnt^mozilla^mozilla1
0^1410486065^3a1d231353d0b7d0^58.29.35.19^apply.uway.com/2014main^OasDefault/apright_A_kmu_2014re,apright_A_kmu_140911.swf.html,Right1^winnt^msie^explorer7
0^1410486065^3d4a615d54097020^61.74.97.93^apply.uway.com/2014main^OasDefault/apleft_kookmin_2014re,apleft_kookmin_140415,Left3^winxp^msie^explorer6
0^1410486065^0e37243253ff3740^39.7.52.120^apply.uway.com/2014main^OasDefault/apcontents_bau_2014re,apcontents_bau_140321,contents_A^winnt^msie^explorer7
n^1410486065^d32b814b54124f30^211.43.129.75^apply.uway.com/2014main^OasDefault/apsky_yeonsung_2014re,apsky_yeonsung_140321.swf.html,sky_F^macintosh^safari^Other
0^1410486065^76d87c89540ea7c0^118.216.124.137^apply.uway.com/2014main^OasDefault/apleft_anyang_2014re,apleft_anyang_140321,Left2^winnt^safari^safari3
0^1410486065^0e37243253ff3740^39.7.52.120^apply.uway.com/2014main^OasDefault/apcontents_yeonsung_2014re,apcontents_yeonsung_140610,contents_B^winnt^msie^explorer7
0^1410486065^3d4a615d54097020^61.74.97.93^apply.uway.com/2014main^OasDefault/apcontents_sac_2014re,apcontents_sac_140321,contents_D^winxp^msie^explorer6
0^1410486065^7888696d54124f00^120.136.105.109^apply.uway.com/2014main^OasDefault/apbox_kyungki_2014re,apbox_kyungki_140828(1).swf.html,box_C^winxp^msie^explorer6
0^1410486065^0e3637315410e5c0^14.54.55.49^apply.uway.com/2014main^OasDefault/apbox_djsjcj_2014re,apbox_djsjcj_140709.swf.html,box_A^winnt^msie^explorer7
0^1410486065^3a1d231353d0b7d0^58.29.35.19^apply.uway.com/2014main^OasDefault/sky_kwandonguniv_2014re,sky_kwandonguniv_140822.swf.html,sky_B^winnt^msie^explorer7
0^1410486065^3d4a615d54097020^61.74.97.93^apply.uway.com/2014main^OasDefault/apcontents_icpc_2014re,apcontents_icpc_140829,maintop_D^winxp^msie^explorer6
0^1410486065^7888696d54124f00^120.136.105.109^apply.uway.com/2014main^OasDefault/apbox_chungkang_2014re,apbox_chungkang_140324.swf.html,box_E^winxp^msie^explorer6
0^1410486065^b450b97154117840^180.80.185.113^apply.uway.com/2014main^OasDefault/apmainbox_gtec_2014re,apmainbox_gtec_140327.swf.html,mainbox^winnt^msie^Other
0^1410486065^0e232b4154124f20^14.35.43.65^apply.uway.com/2014main^OasDefault/apsky_hansung_2014re,apsky_hansung_140528.swf.html,sky_I^winnt^msie^mozilla1
0^1410486065^7888696d54124f00^120.136.105.109^apply.uway.com/2014main^OasDefault/apright_B_jangan_2014re,apright_B_jangan_140911.swf.html,Right2^winxp^msie^explorer6
0^1410486065^0e357c8254095350^14.53.124.130^apply.uway.com/2014main^OasDefault/apcontents_yonam_2014re,apcontents_yonam_140805,contents_C^winnt^msie^Other
0^1410486065^7888696d54124f00^120.136.105.109^apply.uway.com/2014main^OasDefault/apmainbig_kwangyang_2014re,apmainbig_kwangyang_140822.swf.html,mainbig^winxp^msie^explorer6
0^1410486065^0e3637315410e5c0^14.54.55.49^apply.uway.com/2014main^OasDefault/apbox_deachungse_2014re,apbox_deachungse_140827.swf.html,box_F^winnt^msie^explorer7
0^1410486065^76d87c89540ea7c0^118.216.124.137^apply.uway.com/2014main^OasDefault/apleft_kookmin_2014re,apleft_kookmin_140415,Left3^winnt^safari^safari3
0^1410486065^7888696d54124f00^120.136.105.109^apply.uway.com/2014main^OasDefault/apskinB_hanzhong_2014re,apskinB_hanzhong_140507,skin_B^winxp^msie^explorer6
0^1410486065^7888696d54124f00^120.136.105.109^apply.uway.com/2014main^OasDefault/apsky_bcu_2014re,apsky_bcu_140902.swf.html,sky_E^winxp^msie^explorer6
